stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_direction
STOP_132904,,Doctor Andrade,,19.406828778274214,-99.14823174476624,,,0,,0,
STOP_132905,,Lázaro Cárdenas Eje Central,,19.407041282520918,-99.14481997489929,,,0,,0,
STOP_132906,,Bolivar,,19.407223428797103,-99.14233088493347,,,0,,0,
STOP_132907,,Isabel la Católica,,19.407405574869287,-99.13971304893494,,,0,,0,
STOP_132908,,5 de Febrero,,19.407557363106942,-99.13778185844421,,,0,,0,
STOP_132909,,Oriente 67,,19.40860975765844,-99.130539894104,,,0,,0,
STOP_132910,,José Antonio Torres,,19.40842761293495,-99.13312554359436,,,0,,0,
STOP_132911,,Calzada de la Viga (Eje 2 Ote),,19.40885261697241,-99.1270637512207,,,0,,0,
STOP_132912,,Torno,,19.408812140445267,-99.12467122077942,,,0,,0,
STOP_132913,,H Congreso de la Unión,,19.409024642100363,-99.1220211982727,,,0,,0,
STOP_132914,,Nicolás Bravo,,19.408994284738068,-99.11995053291321,,,0,,0,
STOP_132915,,Industria,,19.40853892362356,-99.11550879478453,,,0,,0,
STOP_132916,,Francisco del Paso y Troncoso (Eje 3 Ote),,19.40831630217017,-99.11359906196594,,,0,,0,
STOP_132917,,Fernando Iglesias,,19.40826570634281,-99.10946846008301,,,0,,0,
STOP_132918,,Radames Treviño,,19.408275825509545,-99.10441517829895,,,0,,0,
STOP_132919,,Atletas,,19.406656750823505,-99.1027307510376,,,0,,0,
STOP_132920,,Pemex (Frente a Palacio de los Deportes),,19.40329711942984,-99.10089612007141,,,0,,0,
STOP_132921,,Circuito Bicentenario Río Churubusco,,19.402811383848345,-99.09844994544983,,,0,,0,
STOP_132922,,Vainilla,,19.40027136791568,-99.09879326820374,,,0,,0,
STOP_132923,,Plutarco Elías Calles ,,19.397184841002662,-99.09926533699036,,,0,,0,
STOP_132925,,Centeno,,19.399573109574693,-99.09801006317139,,,0,,0,
STOP_132926,,Añil (Eje 3 Sur),,19.402578635034896,-99.09760236740111,,,0,,0,
STOP_132927,,Puerta 10 Foro Sol,,19.405422195544805,-99.09724831581116,,,0,,0,
STOP_132928,,Puerta 4A,,19.408822259578006,-99.09568190574646,,,0,,0,
STOP_132929,,Puerta 5 Ciudad Deportiva,,19.408255587175454,-99.09069299697875,,,0,,0,
STOP_132930,,Estación Metro Puebla,,19.40703116327738,-99.0827214717865,,,0,,0,
STOP_132931,,Canal de Río Churubusco,,19.40679842050201,-99.07867670059204,,,0,,0,
STOP_132932,,Sur 4,,19.40400548121959,-99.07817244529724,,,0,,0,
STOP_132933,,Sur 8,,19.401263092002935,-99.07936334609985,,,0,,0,
STOP_132934,,Oriente 233,,19.40079758961275,-99.07748579978943,,,0,,0,
STOP_132935,,Oriente 237,,19.400362444869675,-99.07482504844666,,,0,,0,
STOP_132936,,Javier Rojo Gómez Eje 5 Ote,,19.39996777770087,-99.0722393989563,,,0,,0,
STOP_132937,,Oriente 245,,19.399502271604554,-99.06962156295776,,,0,,0,
STOP_132938,,Oriente 249,,19.399107602349215,-99.06707882881165,,,0,,0,
STOP_132939,,Oriente 253,,19.398712932136558,-99.06458973884583,,,0,,0,
STOP_132940,,Oriente 257,,19.39827778181812,-99.06217575073242,,,0,,0,
STOP_132941,,Sur 12,,19.39577817489019,-99.06264781951904,,,0,,0,
STOP_132942,,Sur 16,,19.392985046425437,-99.06328082084656,,,0,,0,
STOP_132943,,Sur 20,,19.390697883799888,-99.06375288963318,,,0,,0,
STOP_132944,,Oriente 259,,19.38993886255228,-99.0622615814209,,,0,,0,
STOP_132945,,Canal de San Juan,,19.389594771754215,-99.05998706817627,,,0,,0,
STOP_132946,,Frente a Secundaria Oficial,,19.389169717411306,-99.05861377716064,,,0,,0,
STOP_132949,,Gral. Antonio de León Loyola,,19.384929233565906,-99.05218720436096,,,0,,0,
STOP_132950,,Frente a Panadería León,,19.388218401289137,-99.05715465545653,,,0,,0,
STOP_132951,,Gral Antonio de León (2° Semáforo),,19.38744924801995,-99.05036330223083,,,0,,0,
STOP_132952,,Priv. A de León Loyola,,19.390880048372683,-99.04829263687132,,,0,,0,
STOP_132954,,Frente a Clínica ISSSTE Zaragoza,,19.389038152746917,-99.04630780220032,,,0,,0,
STOP_132955,,Avenida Texcoco,,19.393814893945535,-99.04327154159546,,,0,,0,
STOP_132956,,Avenida Observatorio,,19.40419775031596,-99.18800354003906,,,0,,0,
STOP_132957,,Parque Lira (MB),,19.407871058349166,-99.18940901756287,,,0,,0,
STOP_132958,,Gral. José Morán,,19.409095475923685,-99.1901171207428,,,0,,0,
STOP_132959,,Gral. J. Cano,,19.409307977208528,-99.18601870536804,,,0,,0,
STOP_132960,,Gob. Ignacio Esteva,,19.410947263500514,-99.18784260749815,,,0,,0,
STOP_132962,,Gral. Pedro A. de los Santos,,19.409348453612267,-99.18379783630371,,,0,,0,
STOP_132963,,Chicontepec,,19.410178217668324,-99.18280005455017,,,0,,0,
STOP_132964,,Patriotismo,,19.410775240406487,-99.18125510215759,,,0,,0,
STOP_132965,,Mazatlán,,19.410168098619984,-99.18004274368286,,,0,,0,
STOP_132966,,Zitácuaro,,19.40970262171509,-99.17920589447021,,,0,,0,
STOP_132967,,Tamaulipas,,19.408549042773284,-99.17688846588135,,,0,,0,
STOP_132968,,Saltillo,,19.407375217204752,-99.17452812194823,,,0,,0,
STOP_132969,,Altata,,19.406494842468394,-99.17274713516235,,,0,,0,
STOP_132970,,Campeche,,19.40826570634281,-99.17182445526123,,,0,,0,
STOP_132971,,Chilpancingo,,19.40849844701834,-99.16993618011473,,,0,,0,
STOP_132972,,Insurgentes Sur,,19.409115714153263,-99.16768312454224,,,0,,0,
STOP_132973,,Medellín (Eje 3 Pte),,19.409864526876614,-99.164217710495,,,0,,0,
STOP_132974,,Gob. José Ma. Tornel,,19.41298116981523,-99.18702721595764,,,0,,0,
STOP_132975,,Constituyentes,,19.4144686374295,-99.18644785881042,,,0,,0,
STOP_132976,,Gral. Juan Cano,,19.415682886616715,-99.18391585350035,,,0,,0,
STOP_132977,,Gral. Pedro Antonio de los Santos,,19.416421550435288,-99.1810405254364,,,0,,0,
STOP_132978,,Zamora,,19.416462025068068,-99.17816519737244,,,0,,0,
STOP_132979,,Cuernavaca,,19.41489362567669,-99.17508602142334,,,0,,0,
STOP_132980,,Tamaulipas,,19.41353770691057,-99.17242527008057,,,0,,0,
STOP_132981,,Sonora,,19.415652530497574,-99.17008638381958,,,0,,0,
STOP_132982,,Yucatán,,19.416583448905957,-99.16751146316528,,,0,,0,
STOP_132983,,Insurgentes Sur ,,19.417038787490206,-99.16512966156006,,,0,,0,
STOP_132984,,Tonalá,,19.41752448057416,-99.16257619857788,,,0,,0,
STOP_132985,,Zacatecas,,19.415429918783985,-99.16202902793884,,,0,,0,
STOP_132986,,Monterrey,,19.410228812900645,-99.16234016418457,,,0,,0,
STOP_132987,,Jalapa,,19.41070440731487,-99.15982961654663,,,0,,0,
STOP_132988,,Orizaba,,19.411645473013763,-99.15823101997375,,,0,,0,
STOP_132989,,Coahuila,,19.41253593876729,-99.15576338768005,,,0,,0,
STOP_132990,,San Luis Potosí,,19.414590062756346,-99.15626764297485,,,0,,0,
STOP_132991,,Merida,,19.415470393663668,-99.15663242340088,,,0,,0,
STOP_132992,,Orizaba,,19.414974575693055,-99.1591215133667,,,0,,0,
STOP_132993,,Frontera,,19.415763836240053,-99.15513038635252,,,0,,0,
STOP_132994,,Niños Héroes,,19.415612055663235,-99.1509997844696,,,0,,0,
STOP_132995,,Dr. Vértiz,,19.415440037504858,-99.14838194847106,,,0,,0,
STOP_132996,,Dr. Andrade,,19.415298375355395,-99.1466760635376,,,0,,0,
STOP_132997,,Eje Central (Lázaro Cárdenas),,19.415116238124682,-99.14392948150635,,,0,,0,
STOP_132998,,Bolívar,,19.414903744430948,-99.14125800132751,,,0,,0,
STOP_132999,,Isabel la Católica,,19.41474184428738,-99.13881182670593,,,0,,0,
STOP_133000,,5 de Febrero,,19.41429661806119,-99.13702011108398,,,0,,0,
STOP_133001,,Xocongo,,19.413213903741404,-99.1327929496765,,,0,,0,
STOP_133002,,Juan A. Mateos,,19.410188336716057,-99.13332939147949,,,0,,0,
STOP_133003,,José Antonio Torres,,19.408559161922387,-99.13336157798767,,,0,,0,
STOP_133004,,Topacio,,19.40885261697241,-99.12988543510437,,,0,,0,
STOP_133005,,La Viga (Eje 2 Ote),,19.409004403859463,-99.12659168243408,,,0,,0,
STOP_133006,,Torno,,19.408994284738068,-99.12410259246826,,,0,,0,
STOP_133007,,H Congreso de la Unión ,,19.409257381689706,-99.12148475646973,,,0,,0,
STOP_133008,,Nicolás Bravo,,19.409166309716156,-99.11974668502808,,,0,,0,
STOP_133009,,General Montaño,,19.40873118736076,-99.11581993103027,,,0,,0,
STOP_133010,,Francisco del Paso y Troncoso (Eje 3 Ote),,19.408437732091606,-99.11292314529419,,,0,,0,
STOP_133011,,Fernando Iglesias,,19.408447851247644,-99.10920023918152,,,0,,0,
STOP_133012,,2° Puente Peatonal,,19.406859136040744,-99.10742998123169,,,0,,0,
STOP_133013,,1er Puente Peatonal,,19.406302576087352,-99.11019802093506,,,0,,0,
STOP_133014,,Clínica IMSS,,19.4057358949053,-99.11285877227783,,,0,,0,
STOP_133015,,Viaducto Río de la Piedad,,19.40646448463388,-99.11375999450684,,,0,,0,
